;Num_Acc;an;mois;jour;hrmn;lum;agg;int;atm;col;com;adr;gps;lat;long;dep
93;201300000110;13;1;8;700;2;1;1;1.0;3;604;;M;5011654.0;348667.0;590
94;201300000111;13;1;27;400;3;1;1;9.0;7;55;Rue de Catillon;M;5008697.0;359701.0;590
95;201300000112;13;2;9;515;5;2;1;5.0;6;136;rue du Maréchale Mortier;M;5010269.0;354420.0;590
96;201300000113;13;2;12;1500;1;1;1;1.0;6;465;27 rue du Cateau;M;5011192.0;359437.0;590
97;201300000116;13;11;1;45;5;2;1;1.0;6;498;chaussée Brunéhaut;M;5008512.0;348444.0;590
98;201300000118;13;2;1;1745;5;2;1;2.0;1;139;rue charles gide;M;5011034.0;340249.0;590
99;201300000119;13;2;26;1630;1;2;1;1.0;3;139;42 Boulevard Jean Jaurès;M;5012159.0;340461.0;590
100;201300000120;13;5;4;1130;1;1;1;1.0;1;614;;M;5016939.0;346007.0;590
101;201300000121;13;6;28;1115;1;2;1;1.0;6;139;rue jusles guesde;M;5012625.0;340720.0;590
102;201300000122;13;8;7;10;5;2;1;1.0;1;139;136 rue de Saint-Quentin;M;5011910.0;341120.0;590
103;201300000123;13;9;6;1330;1;2;1;1.0;3;139;Avenue Jean Moulin;M;5012575.0;340337.0;590
104;201300000124;13;9;17;1215;1;1;1;1.0;1;614;Rte Nationale;M;5016905.0;345835.0;590
105;201300000125;13;9;22;1215;1;2;6;1.0;3;139;rue de wedel;M;5011107.0;342828.0;590
106;201300000126;13;9;28;2015;3;2;1;1.0;6;139;Av Roger Salengro;M;5012363.0;340868.0;590
107;201300000127;13;11;25;700;3;1;1;1.0;6;75;Rte de Quiévy;M;5013819.0;341883.0;590
108;201300000128;13;12;5;800;2;1;1;1.0;1;139;route de Quiévy;M;5013542.0;341808.0;590
109;201300000129;13;12;7;1030;1;2;1;1.0;3;139;Rue STEPHENSON;M;5012613.0;342100.0;590
110;201300000130;13;12;19;730;5;2;1;8.0;6;139;Bd du 19 mars 1962;M;5011697.0;341858.0;590
111;201300000131;13;12;19;1800;5;1;1;1.0;1;139;Rue Léon Gambetta;M;5012093.0;340746.0;590
112;201300000132;13;12;24;1215;1;2;1;2.0;6;139;R de la République;M;5013225.0;340248.0;590
113;201300000133;13;1;2;1100;1;2;1;1.0;6;118;57 RUE PASTEUR;M;5003383.0;346948.0;590
114;201300000134;13;2;4;2230;5;2;1;1.0;6;624;32 R du Général Leclerc;M;5003298.0;330268.0;590
115;201300000135;13;10;19;245;3;1;1;1.0;6;74;Rte départementale;M;5006280.0;344001.0;590
116;201300000136;13;12;25;1330;1;1;1;6.0;6;149;Rte de Maretz;M;5006258.0;341264.0;590
117;201300000137;13;3;29;2315;5;2;1;1.0;3;97;Route nationale;M;5014138.0;303846.0;590
118;201300000138;13;6;18;1345;1;1;1;1.0;3;47;;M;5007399.0;318009.0;590
119;201300000139;13;12;3;1845;3;1;2;1.0;5;176;Rte départementale;M;5013471.0;300644.0;590
120;201300000140;13;12;10;1615;1;1;1;7.0;3;377;;M;5010035.0;315972.0;590
121;201300000142;13;3;29;1645;1;2;7;1.0;6;289;Place Jean jaur?s;M;5021759.0;347978.0;590
122;201300000143;13;4;10;1630;1;2;1;1.0;6;537;rue Villars;M;5024185.0;351308.0;590
123;201300000144;13;5;24;1645;1;1;1;2.0;5;108;Rue Belle Vue;M;5016595.0;349451.0;590
124;201300000145;13;5;26;1830;1;2;9;1.0;7;289;43 rue du Maréchal Foch;M;5022075.0;347321.0;590
125;201300000146;13;7;19;1930;1;1;1;7.0;3;571;Rue de l'Abbaye;M;5016655.0;349444.0;590
126;201300000147;13;1;16;1015;1;2;8;1.0;3;15;avenue de la gare;M;5029107.0;311770.0;590
127;201300000148;13;2;3;930;1;2;1;1.0;6;228;Rue de Bapaume;M;5032157.0;307159.0;590
128;201300000150;13;3;9;1845;5;1;9;2.0;1;228;Route de Dechy;M;5033568.0;309021.0;590
129;201300000151;13;4;7;915;1;1;1;1.0;6;15;Rte de Bugnicourt;M;5028332.0;312621.0;590
130;201300000152;13;9;22;530;5;2;1;2.0;6;409;rue de Masny;M;5031286.0;320743.0;590
131;201300000153;13;11;21;30;3;1;1;5.0;6;228;Rte départementale;M;5033537.0;310124.0;590
132;201300000155;13;2;22;1945;5;2;1;1.0;1;449;rue Jules Rieu - CD 938;M;5047999.0;324712.0;590
133;201300000156;13;7;9;2145;2;2;1;1.0;6;435;Rue de Lannay;M;5050395.0;329071.0;590
134;201300000157;13;10;27;145;3;1;1;1.0;6;435;8 Rue de Tournai;M;5050762.0;327069.0;590
135;201300000158;13;1;5;2145;3;1;1;2.0;7;618;Rue de Maubeuge;M;5032575.0;403024.0;590
136;201300000159;13;3;3;1215;1;2;1;1.0;6;264;21 Rue de la Liberté;M;5033192.0;394483.0;590
137;201300000160;13;7;20;130;3;2;1;1.0;7;627;Rue des Cachés;M;5034015.0;400991.0;590
138;201300000161;13;7;24;2030;1;1;1;1.0;3;584;Voie communale Brunehaut;M;5031662.0;386561.0;590
139;201300000162;13;10;12;30;5;2;1;1.0;6;618;20 bis rue de Marpent;M;5032718.0;404721.0;590
140;201300000163;13;11;17;2345;5;2;1;1.0;6;370;59 rue Haute;M;5030861.0;398808.0;590
141;201300000164;13;12;17;1315;1;2;1;1.0;6;53;20 rue Pierre Mathieux;M;5029795.0;379572.0;590
142;201300000165;13;12;21;2215;3;1;1;1.0;7;618;rue de Marpent;M;5031711.0;405307.0;590
143;201300000166;13;3;27;1145;3;1;1;1.0;1;481;Rte départementale;M;5024164.0;362849.0;590
144;201300000167;13;7;20;1715;1;2;1;1.0;6;639;14 grand rue;M;5030571.0;366141.0;590
145;201300000168;13;8;27;30;3;1;1;1.0;6;640;Rue de Cavin;M;5029398.0;366010.0;590
146;201300000169;13;12;14;1745;3;2;1;2.0;7;473;chemin du Bois St-Pierre;M;5029637.0;370401.0;590
147;201300000170;13;4;16;1445;1;1;1;1.0;1;58;;M;5021263.0;394912.0;590
148;201300000171;13;12;20;2030;3;1;1;1.0;5;58;Rte Nationale;M;5022536.0;394780.0;590
149;201300000172;13;3;24;1300;1;1;9;1.0;7;233;;M;0.0;0.0;620
150;201300000173;13;4;5;815;1;1;1;1.0;7;815;;M;0.0;0.0;620
151;201300000174;13;7;11;1330;1;1;1;1.0;6;752;;M;0.0;0.0;620
152;201300000175;13;7;30;1700;1;1;1;3.0;3;867;;M;0.0;0.0;620
153;201300000176;13;9;6;1700;1;1;1;8.0;6;604;;M;0.0;0.0;620
154;201300000177;13;9;29;545;3;1;1;1.0;6;156;;M;0.0;0.0;620
155;201300000178;13;11;8;1115;1;1;1;1.0;1;603;;M;0.0;0.0;620
156;201300000179;13;6;29;1515;1;2;1;1.0;3;909;INTER WATEL ET ROUET;M;5006378.0;299440.0;620
157;201300000180;13;8;29;800;1;1;1;5.0;2;515;;M;0.0;0.0;620
158;201300000181;13;10;3;1445;1;1;1;1.0;3;326;;M;0.0;0.0;620
159;201300000184;13;6;18;1215;1;1;1;1.0;2;115;;M;5026200.0;269200.0;620
160;201300000185;13;7;22;2145;2;2;1;1.0;3;68;Route Nationale;M;0.0;0.0;620
161;201300000186;13;9;26;1700;1;1;1;1.0;1;869;;M;0.0;0.0;620
162;201300000187;13;11;18;645;3;1;1;2.0;1;583;;M;0.0;0.0;620
163;201300000189;13;2;6;1745;2;1;1;2.0;1;861;;M;0.0;0.0;620
164;201300000190;13;5;3;1245;1;1;1;1.0;6;609;;M;5036700.0;276600.0;620
165;201300000191;13;6;6;115;3;1;1;1.0;6;714;;;;;620
166;201300000192;13;9;26;1830;1;1;1;1.0;1;213;;M;5037500.0;271900.0;620
167;201300000193;13;9;29;1700;1;1;2;1.0;3;213;;M;5037200.0;272500.0;620
168;201300000194;13;2;13;730;2;1;1;1.0;1;414;;M;5023886.0;297701.0;620
169;201300000196;13;5;1;2000;1;1;1;2.0;6;839;;M;0.0;0.0;620
170;201300000197;13;6;12;1200;1;1;1;1.0;3;414;;M;5023500.0;297900.0;620
171;201300000199;13;7;1;1645;1;2;1;1.0;1;306;RD917;M;5016900.0;282400.0;620
172;201300000200;13;7;28;1130;1;1;1;1.0;1;298;;M;5023600.0;317500.0;620
173;201300000201;13;8;7;1900;1;1;1;1.0;7;728;;M;5024100.0;305100.0;620
174;201300000202;13;8;15;1800;1;2;1;1.0;2;484;;M;5016000.0;295800.0;620
175;201300000204;13;9;4;1230;1;1;1;1.0;7;259;;M;5019900.0;289100.0;620
176;201300000205;13;11;8;2100;5;2;2;2.0;6;259;37 rue d' ARRAS;M;5020081.0;287335.0;620
177;201300000207;13;12;24;815;1;2;1;1.0;6;81;D 14;M;0.0;0.0;620
178;201300000208;13;6;17;815;1;2;1;1.0;3;173;RD 950;M;0.0;0.0;620
179;201300000209;13;12;4;1315;1;1;1;1.0;6;355;;M;0.0;0.0;620
180;201300000210;13;6;28;1900;1;2;1;2.0;3;620;RUE DE MOLINGHEM CD 91 E;M;0.0;0.0;620
181;201300000211;13;6;30;1500;1;1;1;1.0;1;564;;M;0.0;0.0;620
182;201300000212;13;7;6;1415;1;1;1;1.0;6;720;;M;0.0;0.0;620
183;201300000213;13;1;12;1400;1;1;2;2.0;3;706;;M;0.0;0.0;620
184;201300000214;13;8;28;1615;1;1;1;1.0;3;491;;M;0.0;0.0;620
185;201300000215;13;10;20;800;2;1;1;1.0;6;606;;M;0.0;0.0;620
186;201300000216;13;11;28;1615;2;1;1;8.0;6;491;;M;0.0;0.0;620
187;201300000217;13;12;21;1715;3;2;1;2.0;6;502;route de B?thune;M;0.0;0.0;620
188;201300000218;13;5;19;1900;1;1;1;1.0;7;524;;M;0.0;0.0;620
189;201300000219;13;8;24;245;3;1;1;1.0;3;104;;M;0.0;0.0;620
190;201300000220;13;9;3;715;2;1;1;5.0;2;214;;M;0.0;0.0;620
191;201300000221;13;10;29;1915;5;2;1;1.0;2;268;rue de la gare;M;0.0;0.0;620
192;201300000223;13;12;2;1545;1;2;1;1.0;6;773;D901 ROUTE DE MONTREUIL;M;0.0;0.0;620
193;201300000224;13;1;1;200;3;1;1;2.0;7;560;;M;0.0;0.0;620
194;201300000225;13;1;10;1900;5;2;1;1.0;1;711;Rue Salengro;M;0.0;0.0;620
195;201300000226;13;1;17;930;1;1;2;8.0;3;705;;M;0.0;0.0;620
196;201300000227;13;5;9;1300;1;1;1;1.0;3;899;;M;0.0;0.0;620
197;201300000228;13;8;12;930;1;1;1;1.0;6;705;;M;5077370.0;178425.0;620
198;201300000229;13;8;21;1145;1;1;1;7.0;6;560;;M;0.0;0.0;620
199;201300000231;13;11;21;1200;1;1;2;1.0;3;705;;M;5079686.0;176436.0;620
200;201300000232;13;12;17;1015;2;2;1;8.0;3;560;;M;0.0;0.0;620
201;201300000233;13;1;3;1630;1;1;1;2.0;1;235;;M;0.0;0.0;620
202;201300000234;13;4;8;1200;1;2;9;1.0;1;604;avenue fran?ois 1er;M;0.0;0.0;620
203;201300000235;13;9;24;1445;1;1;3;5.0;3;604;;M;0.0;0.0;620
204;201300000236;13;4;6;1830;1;1;1;1.0;7;693;;M;0.0;0.0;620
205;201300000237;13;6;23;730;2;2;1;2.0;7;693;Route de Baraffle;M;5043700.0;256100.0;620
206;201300000238;13;7;11;530;2;1;1;1.0;7;693;;M;0.0;0.0;620
207;201300000239;13;7;28;1230;1;1;1;7.0;3;170;;M;5042600.0;265500.0;620
208;201300000240;13;5;29;1945;2;1;1;3.0;3;206;;M;5043900.0;171400.0;620
209;201300000241;13;6;25;1900;1;1;1;1.0;1;207;;M;0.0;0.0;620
210;201300000242;13;11;4;700;3;1;1;3.0;6;527;;M;0.0;0.0;620
211;201300000243;13;7;8;15;3;2;1;1.0;6;547;Rue Gallion;M;0.0;0.0;620
212;201300000244;13;3;11;1400;1;1;1;4.0;1;460;;M;5059100.0;174000.0;620
213;201300000245;13;4;15;1100;1;1;1;1.0;1;201;;M;5058122.0;160363.0;620
214;201300000247;13;8;4;1845;1;2;1;1.0;6;201;70 rue du vieux moulin;M;0.0;0.0;620
215;201300000248;13;12;7;1145;1;1;1;1.0;6;318;;M;0.0;0.0;620
216;201300000249;13;8;25;2030;1;1;1;1.0;6;538;;M;0.0;0.0;620
217;201300000250;13;2;9;730;2;1;1;4.0;7;275;;M;0.0;0.0;620
218;201300000252;13;3;4;930;1;1;1;1.0;5;685;;M;0.0;0.0;620
219;201300000253;13;6;4;1645;1;2;1;1.0;3;552;;M;5041900.0;191100.0;620
220;201300000254;13;6;21;1630;1;2;2;1.0;3;220;Rue Principale;M;5042700.0;201399.0;620
221;201300000255;13;6;26;1215;1;1;1;1.0;1;293;;M;5049200.0;197400.0;620
222;201300000256;13;9;5;1545;1;2;1;7.0;6;768;10 grande rue;M;5037200.0;187500.0;620
223;201300000257;13;9;29;1745;1;1;1;1.0;7;204;;M;0.0;0.0;620
224;201300000258;13;9;30;745;1;2;1;1.0;6;100;route de Campagne;M;5042005.0;188809.0;620
225;201300000259;13;11;9;1830;3;1;1;2.0;3;872;;M;5041090.0;204700.0;620
226;201300000260;13;11;15;1800;5;2;1;1.0;6;447;bld de la meilleraye;M;5037700.0;203900.0;620
227;201300000261;13;1;5;1545;2;2;1;1.0;6;14;rue d 'isbergues;M;5063904.0;240343.0;620
228;201300000262;13;7;11;1845;1;2;1;1.0;6;14;rue Alsace Lorraine;M;5064200.0;239000.0;620
229;201300000263;13;7;12;1130;1;1;1;1.0;1;14;;M;5062800.0;239300.0;620
230;201300000264;13;10;1;430;3;2;1;1.0;6;567;233 rue d'Amont;M;0.0;0.0;620
231;201300000265;13;11;9;1130;1;2;6;8.0;3;38;intersection 943 et 227;M;0.0;0.0;620
232;201300000266;13;1;28;1415;1;1;1;1.0;5;760;;M;0.0;0.0;620
233;201300000267;13;2;19;2015;5;2;1;1.0;3;325;rue de st omer;M;0.0;0.0;620
234;201300000268;13;3;12;1815;1;2;1;4.0;6;704;place de l'?glise;M;5058268.0;207208.0;620
235;201300000269;13;4;28;1000;1;1;3;1.0;3;760;;M;0.0;0.0;620
236;201300000270;13;5;1;800;1;2;1;1.0;6;254;D157;M;0.0;0.0;620
237;201300000271;13;6;12;830;1;1;1;1.0;3;325;;M;0.0;0.0;620
238;201300000272;13;6;17;1945;1;2;1;1.0;6;760;rue de l'?glise;M;0.0;0.0;620
239;201300000273;13;6;25;1515;1;1;1;1.0;5;812;;M;0.0;0.0;620
240;201300000274;13;8;23;1530;1;1;1;1.0;2;336;;M;0.0;0.0;620
241;201300000275;13;9;28;1700;5;2;1;1.0;3;613;route de lumbres - CD202;M;0.0;0.0;620
242;201300000276;13;10;4;2115;3;1;1;1.0;6;696;;M;0.0;0.0;620
243;201300000277;13;11;27;1515;1;1;1;1.0;3;271;;M;0.0;0.0;620
244;201300000278;13;12;10;1730;1;1;1;1.0;6;704;;M;0.0;0.0;620
245;201300000279;13;1;4;1830;5;2;1;1.0;6;882;rue Bernard Chochoy;M;0.0;0.0;620
246;201300000280;13;1;5;1130;1;1;2;1.0;3;88;;M;0.0;0.0;620
247;201300000281;13;1;18;745;2;1;1;4.0;1;229;;M;0.0;0.0;620
248;201300000282;13;7;22;1330;1;2;3;7.0;3;656;Inters D 192 / D 928;M;5067555.0;219714.0;620
249;201300000283;13;9;22;1615;3;1;1;1.0;6;644;;M;5065526.0;214293.0;620
250;201300000284;13;11;2;1830;5;1;1;3.0;7;504;;M;5072423.0;217147.0;620
251;201300000285;13;11;30;1000;1;2;1;8.0;3;419;cd 216;M;0.0;0.0;620
252;201300000286;13;1;16;1800;2;1;1;8.0;7;269;;M;0.0;0.0;620
253;201300000287;13;1;30;930;1;1;1;2.0;3;655;;M;0.0;0.0;620
254;201300000288;13;2;1;1600;1;1;1;1.0;1;872;;M;5041900.0;204999.0;620
255;201300000289;13;2;14;1515;1;2;1;1.0;6;767;34 rue de Canteraine;M;5037900.0;233400.0;620
256;201300000292;13;5;6;730;1;1;1;1.0;2;763;;M;5037100.0;236400.0;620
257;201300000293;13;7;5;1945;1;1;1;1.0;3;652;;M;0.0;0.0;620
258;201300000294;13;7;7;515;2;2;1;1.0;6;767;rue de bethune;M;5038700.0;234100.0;620
259;201300000295;13;8;14;745;1;1;1;1.0;1;166;;M;0.0;0.0;620
260;201300000296;13;8;15;1345;1;1;1;1.0;3;260;;M;5039000.0;225200.0;620
261;201300000297;13;10;31;2245;3;1;1;1.0;6;260;;M;0.0;0.0;620
262;201300000298;13;11;11;1415;1;1;1;1.0;7;450;;M;0.0;0.0;620
263;201300000299;13;11;15;730;2;2;1;2.0;6;767;rue du 8 mai 1945;M;5038100.0;233000.0;620
264;201300000300;13;1;12;545;3;1;1;1.0;6;415;;M;5034000.0;262500.0;620
265;201300000301;13;1;29;1530;1;1;1;2.0;4;415;;M;5033300.0;265000.0;620
266;201300000302;13;2;12;1800;2;2;1;1.0;6;70;CD 83;M;0.0;0.0;620
267;201300000303;13;5;30;645;2;1;1;2.0;6;385;;M;5025300.0;246700.0;620
268;201300000304;13;6;24;1845;1;1;1;1.0;1;630;;M;0.0;0.0;620
269;201300000305;13;7;3;45;3;1;1;2.0;1;63;;M;5027406.0;255513.0;620
270;201300000306;13;8;2;1415;1;2;1;1.0;6;63;route de frevent;M;0.0;0.0;620
271;201300000307;13;8;26;945;1;1;1;1.0;6;86;;M;5019900.0;251300.0;620
272;201300000308;13;9;23;1615;1;1;1;1.0;3;415;;M;5033600.0;264300.0;620
273;201300000309;13;10;13;2115;3;1;1;2.0;1;820;;M;5035847.0;246616.0;620
274;201300000310;13;10;19;1345;1;1;1;2.0;2;477;;M;5031400.0;253400.0;620
